kigo,n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
雪,719,0.15453602373600006,0.1713028848171234,-0.03189941868185997,0.0205208882689476,-0.12174512445926666,0.061335042119026184,-0.07853784412145615,0.17377246916294098,-0.029327956959605217,-0.03989434242248535,-0.059903472661972046,-0.022028563544154167,0.024461695924401283,0.001435261801816523,0.1317368447780609,0.13435322046279907,-0.006762262899428606,-0.09938088804483414,-0.16833190619945526,0.013376212678849697,0.2174113243818283,0.08657901734113693,0.2286110520362854,0.10736460983753204,0.044997766613960266,-0.04334130510687828,-0.06263075023889542,0.1956346333026886,0.06460390985012054,0.1380709856748581,-0.0011512299533933401,0.28108346462249756,0.08466313034296036,0.09902205318212509,-0.11175883561372757,0.16980092227458954,-0.06347030401229858,-0.14180047810077667,-0.2852404713630676,-0.09988313168287277,-0.055347856134176254,-0.17102976143360138,-0.11338896304368973,0.20827193558216095,-0.013986116275191307,-0.1214018166065216,-0.10297375917434692,0.08537819981575012,0.3767963647842407,-0.3246500492095947
春,436,-0.0464322566986084,0.0996188297867775,0.009320182725787163,-0.14768268167972565,0.09142246842384338,-0.21288947761058807,-0.018550606444478035,-0.030742192640900612,0.07215429097414017,0.14244677126407623,-0.04736236855387688,-0.17456811666488647,0.18137356638908386,0.014264015480875969,0.06790995597839355,-0.005239866208285093,0.1686084121465683,-0.16302905976772308,-0.08440571278333664,0.18657943606376648,0.22023972868919373,-0.03673515468835831,0.046330779790878296,0.024754071608185768,-0.17910124361515045,0.21663247048854828,-0.0957946628332138,0.12796437740325928,0.10921593755483627,0.0027957018464803696,-0.03871115297079086,0.017839340493083,-0.039759207516908646,-0.16761867702007294,-0.03706693649291992,-0.04760591685771942,0.10348175466060638,-0.34024590253829956,-0.16520291566848755,-0.14798083901405334,-0.30324965715408325,-0.028582770377397537,0.030753344297409058,0.05535760894417763,-0.1556587666273117,-0.13542568683624268,-0.0584866888821125,-0.01239833515137434,0.16272838413715363,-0.41089653968811035
桜,383,0.1289690136909485,-0.06968286633491516,0.010171335190534592,0.01494294498115778,-0.00941702164709568,-0.08786455541849136,-0.13953286409378052,0.24546925723552704,0.06583436578512192,0.1272648125886917,-0.009146925993263721,0.19774755835533142,0.14776915311813354,0.0397208072245121,-0.12404856830835342,-0.034354280680418015,0.07738795876502991,-0.10233953595161438,-0.17004254460334778,0.19004246592521667,0.011624500155448914,-0.05350186675786972,0.13285177946090698,0.12868881225585938,-0.21308037638664246,-0.049028705805540085,-0.0033751039300113916,0.24675890803337097,0.04592594876885414,0.22918586432933807,-0.012451487593352795,0.30667033791542053,0.036212075501680374,-0.07787714898586273,-0.14295297861099243,0.08954229950904846,0.17130959033966064,-0.12144380062818527,-0.005791801027953625,-0.06800112873315811,-0.14430196583271027,-0.16907687485218048,-0.05273475497961044,0.215807244181633,-0.1428442895412445,-0.05677571892738342,-0.13225634396076202,0.041969988495111465,0.2635711431503296,-0.3449743986129761
花,359,0.06975066661834717,-0.07520804554224014,-0.07156513631343842,-0.009547826834022999,-0.00695511931553483,0.0871446505188942,-0.11624667793512344,0.22913597524166107,0.03444719314575195,0.07910476624965668,0.09615181386470795,0.062274377793073654,0.05093985050916672,0.03519464284181595,-0.27836963534355164,0.04821227863430977,0.2737140357494354,-0.20320773124694824,-0.2733044922351837,0.13561566174030304,0.052180103957653046,0.1690530925989151,-0.005573216825723648,0.1037532240152359,-0.2655107080936432,-0.07482101023197174,-0.04926549643278122,0.31096604466438293,-0.008665649220347404,0.27023079991340637,0.06798776239156723,0.1654042750597,0.056912511587142944,0.104807049036026,-0.2509312629699707,-0.02721337601542473,0.08006957173347473,-0.27916204929351807,0.07862488925457001,-0.05726940184831619,-0.18229681253433228,-0.03511108085513115,0.011127959005534649,0.17331823706626892,-0.004267565440386534,0.03273790702223778,-0.12945550680160522,0.07732554525136948,0.06937707215547562,-0.09843120723962784
冬,352,0.06770201027393341,0.07017416507005692,-0.009235146455466747,-0.10316505283117294,0.1505674123764038,-0.0069495378993451595,0.016463104635477066,0.07884719222784042,-0.036556512117385864,-0.048230528831481934,-0.11617065966129303,-0.052995260804891586,0.09314042329788208,-0.05270667001605034,0.015810703858733177,0.01229314599186182,0.25035664439201355,-0.07605858147144318,-0.1906847357749939,0.04272580146789551,0.1875363290309906,0.1478661447763443,0.06734989583492279,0.05922643840312958,0.15271462500095367,0.19174787402153015,-0.04136773198843002,0.14557869732379913,0.03111540898680687,0.17376390099525452,-0.09022479504346848,0.027047982439398766,0.04456222429871559,0.030458517372608185,-0.12411516904830933,-0.07729446142911911,0.09855940192937851,-0.3415459096431732,-0.31328755617141724,-0.1454690545797348,-0.2745261490345001,-0.015997128561139107,-0.060940179973840714,0.2060023695230484,-0.02940254472196102,-0.19477736949920654,-0.14668190479278564,-0.023851051926612854,0.3092353940010071,-0.2751825153827667
月,327,-0.05584447830915451,0.1282777637243271,-0.2007165402173996,-0.2301822006702423,0.033861078321933746,-0.1147766187787056,-0.07263899594545364,0.005851810798048973,0.19740919768810272,-0.1423661708831787,-0.20271353423595428,-0.08107311278581619,-0.04921027645468712,-0.11070990562438965,-0.03164710849523544,0.06282110512256622,-0.04945095628499985,-0.0895766019821167,-0.28445544838905334,0.20836752653121948,0.12393567711114883,-0.09893188625574112,0.13291239738464355,-0.06121823191642761,-0.05014607310295105,-0.04414914920926094,-0.03586632013320923,-0.12754647433757782,0.1415024846792221,0.06335831433534622,-0.09050150960683823,0.16588352620601654,0.153439000248909,-5.003203987143934e-4,-0.10708136111497879,0.20786306262016296,0.10951637476682663,-0.22955471277236938,0.14241868257522583,-0.2081187665462494,-0.16271482408046722,0.04658637195825577,-0.18075202405452728,0.16111959517002106,0.09681094437837601,-0.1512473076581955,-0.2546115219593048,-0.19489632546901703,-0.13536664843559265,-0.17522591352462769
秋,295,-0.10822638869285583,0.07354459166526794,0.04492703825235367,-0.17003726959228516,0.19941459596157074,-0.12820303440093994,-0.001924070413224399,-0.12417332082986832,0.07280325889587402,0.10957785695791245,-0.04785367101430893,-0.21276912093162537,0.22302035987377167,0.04237166792154312,0.04556147754192352,-0.0043103802017867565,0.14548562467098236,-0.205148383975029,-0.016774117946624756,0.17089305818080902,0.1720198392868042,0.09133393317461014,0.09612227976322174,-0.004625757224857807,-0.14377185702323914,0.27570629119873047,-0.18454842269420624,0.08425001055002213,0.11520648002624512,0.05144406482577324,0.014165090397000313,-0.03941114991903305,0.007739834953099489,-0.11876998841762543,-0.026637209579348564,-0.08271564543247223,0.13574256002902985,-0.3368331491947174,-0.19247861206531525,-0.19394201040267944,-0.2381347417831421,-0.0228586308658123,0.023986859247088432,0.06914422661066055,-0.1726086437702179,-0.05815723165869713,0.0045377640053629875,0.03183560073375702,0.15610621869564056,-0.3419846296310425
蝶,209,-0.04873586446046829,0.003916932735592127,0.05872903764247894,0.03127318620681763,-0.1349283754825592,-0.0565415620803833,-0.009972991421818733,0.28876855969429016,0.13962332904338837,0.10471820831298828,0.15570789575576782,-0.06337476521730423,0.06320419162511826,0.12203632295131683,-0.08643349260091782,0.09180673956871033,0.36021703481674194,-0.08126494288444519,-0.20290234684944153,0.2146008461713791,0.1264950931072235,-0.047817181795835495,0.021900661289691925,0.08294162154197693,-0.13824298977851868,-0.20301401615142822,-0.17884095013141632,0.25501394271850586,0.1397968828678131,0.28601789474487305,-0.102162666618824,0.1951896995306015,0.11917498707771301,0.06465302407741547,-0.17627626657485962,0.14227306842803955,-0.11226104199886322,-0.04501304402947426,0.09309834241867065,-0.07004262506961823,-0.08681786060333252,-0.1784905344247818,0.07231131941080093,0.1664455682039261,0.02068464085459709,0.05461796745657921,-0.0894322395324707,-0.022572951391339302,0.17948408424854279,-0.15480659902095795
梅,195,-0.18111036717891693,-0.029692888259887695,-0.009734421968460083,-0.006982152350246906,-0.13812801241874695,0.06187669187784195,-0.10092978179454803,0.08789404481649399,0.03175286203622818,0.20451997220516205,0.0806395635008812,0.030337847769260406,0.05367926135659218,-0.07689248025417328,-0.23567868769168854,0.015554610639810562,0.18575060367584229,-0.008322440087795258,-0.07541771978139877,0.10555105656385422,-0.030209310352802277,0.0070699709467589855,0.13000500202178955,0.17179442942142487,-0.2409287542104721,-0.21747896075248718,-0.10137185454368591,0.26542556285858154,0.19545623660087585,0.3871437907218933,0.029906954616308212,0.18003308773040771,-0.023906925693154335,0.023515596985816956,-0.02508278377354145,0.11923245340585709,0.143171489238739,-0.10911033302545547,-0.11920510232448578,-0.08175517618656158,-0.15715210139751434,-0.1289866864681244,-0.12285714596509933,0.052895233035087585,-0.08909051865339279,-0.008660053834319115,-0.042786963284015656,0.04243522137403488,0.2565631866455078,-0.31354889273643494
梅雨,174,0.19484783709049225,0.23411120474338531,-0.125648632645607,0.06051281467080116,-0.04293391853570938,0.1947794258594513,-0.05492401123046875,-0.032289132475852966,-0.018448932096362114,-0.1351945847272873,0.056376561522483826,-0.022321082651615143,0.0806446522474289,-0.0011528762988746166,0.03186381608247757,-0.055310774594545364,-0.09429432451725006,-0.07967964559793472,-0.24848033487796783,-0.004808647092431784,0.16072945296764374,0.018387172371149063,0.06384216994047165,1.9557191990315914e-4,0.05863599106669426,0.21988703310489655,0.04472169652581215,0.24728840589523315,-0.14624305069446564,0.05369677022099495,-0.1307777464389801,0.0341244637966156,0.06685206294059753,0.2405007928609848,-0.028650552034378052,0.16655251383781433,0.06974440813064575,-0.29230934381484985,-0.21606121957302094,-0.24995680153369904,-0.18358972668647766,-0.09204786270856857,-0.1334139108657837,-0.014657599851489067,-0.10717616975307465,-0.2053990364074707,-0.07520550489425659,0.06695360690355301,0.2745572030544281,-0.23791085183620453
